KEYS,en-US,it-IT,pt-BR,es-ES
POPUP_GENERAL_POSITION,Position,Posizione,Posição,Posición
POPUP_GENERAL_PERIOD,Period,Periodo,Período,Período
POPUP_GENERAL_SKILLS,Skills,Competenze,Habilidades,Habilidades
POPUP_BORN_TITLE,Where was I born,Dove sono nato?,Onde eu nasci,¿Donde nací?
POPUP_BORN_BODY,"I am from a city called Ribeirão Preto, in brazil. It used to be called as 'Coffee land' because of the huge production of coffee in 19 century. Today, it is considered the 'Brazilian California' for its social and economic development.","Vengo da una città chiamata Ribeirão Preto, in Brasile. Un tempo era chiamata ""terra del caffè"" per l'enorme produzione di caffè nel XIX secolo. Oggi è considerata la ""California brasiliana"" per il suo sviluppo sociale ed economico.","Sou de uma cidade chamada Ribeirão Preto, no Brasil. Antigamente, era chamada de ""Terra do Café"" devido à sua enorme produção no século XIX. Hoje, é considerada a ""Califórnia Brasileira"" devido ao seu desenvolvimento social e econômico.","Soy de una ciudad llamada Ribeirão Preto, Brasil. Antiguamente se la conocía como ""la tierra del café"" por su enorme producción en el siglo XIX. Hoy, se la considera la ""California brasileña"" por su desarrollo social y económico."
POPUP_LIVE_TITLE,Where do I live?,Dove vivo?,Onde eu moro?,¿Donde vivo?
POPUP_LIVE_BODY,"I live in Teramo, a city in Italy. Apart of awesome food and history, the city has nice people, good weather and well located.","Vivo a Teramo, una città in Italia. Oltre al cibo e alla storia fantastici, la città ha gente simpatica, un bel clima e una posizione strategica.","Moro em Teramo, uma cidade na Itália. Além da comida e da história incríveis, a cidade tem gente simpática, clima agradável e boa localização.","Vivo en Teramo, una ciudad italiana. Además de su fantástica gastronomía e historia, la ciudad tiene gente amable, un clima estupendo y una ubicación estratégica."
POPUP_UNIVERSITY_TITLE,Graduation?,Laurea?,Graduação?,¿Grado?
POPUP_UNIVERSITY_BODY,"Yes, I have a degree on Computer Science. I finished it on 2018 at University Estacio, in Ribeirão Preto.","Sì, ho una laurea in Informatica. L'ho conseguita nel 2018 presso l'Università Estacio, a Ribeirão Preto.","Sim, sou formado em Ciência da Computação. Concluí a graduação em 2018 na Universidade Estácio, em Ribeirão Preto.","Sí, soy licenciado en Informática. Me gradué en 2018 en la Universidad Estacio de Ribeirão Preto."
POPUP_EXP_CONSINCO_TITLE,Consinco By Totvs,Consinco di Totvs,Consinco By Totvs,Consinco de Totvs
